SKU	EAN-13	Descrição	Marca	Unidade de Medida (UM)	Categoria	Subcategoria	Origem do Produto	NCM	CEST	Estoque Mínimo	Estoque Máximo	Ponto de Pedido	Dimensões	Preço de Custo	Preço de Venda	Controle de Lote e Validade
kullka001	1	Rechargeable Electric Toothbrush	Devpulse	L	alcoólicos		0 - Nacional	91414382	5{7	24.64	184	100	65x14x76 cm	26	26	true
kullka001	2	Paint By Numbers Kit	Twitterlist	KG	Bebidas		0 - Nacional	92724097	5{7	98.07		100	93x71x87 cm	29	13	true
kullka001	3	Coffee Subscription Service	Mudo	L	bazar		0 - Nacional	78734973	9{7	26.81	100	100	29x45x30 cm	95	31	false
kullka001	4	Artisan Bread	Quatz	UN	bazar		2 - Estrangeira Adquirida no Mercado Interno	84643956	3{7	31.4	180	100	36x56x15 cm	9	61	true
kullka001	5	Pet Safety Harness	Omba	CX	hortifruti		1 - Estrangeira Importação Direta	93165941	8{7		142		54x06x46 cm	2	79	true
kullka001	6	Sweet Potato Tots	Mynte	CX	açougue		1 - Estrangeira Importação Direta	26725258	4{7			100	15x44x43 cm	36	21	true
kullka001	7	Brazil Nuts	Zoomlounge	L	açougue		2 - Estrangeira Adquirida no Mercado Interno	16013460	4{7		150	100	67x83x96 cm	23	94	false
kullka001	8	Sun Protection Clothing	Tagcat	L	açougue		1 - Estrangeira Importação Direta	7684419	7{7	49.32			04x49x07 cm	64	57	true
kullka001	9	Bike Repair Tool Kit	Voomm	L	Bebidas		1 - Estrangeira Importação Direta	92891743	6{7	35.51		100	66x55x13 cm	75	96	true
kullka001	10	Repair Tool Set for Home Improvement	Midel	CX	Bebidas		2 - Estrangeira Adquirida no Mercado Interno	65463781	2{7			100	87x78x08 cm	39	64	false
kullka001	11	Self-Massaging Pillow	Yamia	L	hortifruti		2 - Estrangeira Adquirida no Mercado Interno	99723412	1{7			100	70x27x80 cm	73	66	false
kullka001	12	Electric Griddle with Removable Plates	Skynoodle	KG	alcoólicos		2 - Estrangeira Adquirida no Mercado Interno	38249654	2{7	27.82	182		65x65x99 cm	92	20	true
kullka001	13	Kale & Quinoa Salad Mix	Tambee	KG	hortifruti		2 - Estrangeira Adquirida no Mercado Interno	68890928	7{7	53.72	144		86x21x99 cm	22	83	true
kullka001	14	Cinnamon Sugar Tortilla Chips	Thoughtstorm	CX	Bebidas		1 - Estrangeira Importação Direta	97869561	1{7	24.66		100	56x39x21 cm	23	21	false
kullka001	15	Cat Scratching Post with Toys	Zazio	M	alcoólicos		2 - Estrangeira Adquirida no Mercado Interno	97852265	1{7				41x84x54 cm	12	41	false
kullka001	16	Pasta (Linguine)	Mydeo	KG	mercearia		1 - Estrangeira Importação Direta	72385309	8{7	17.38		100	00x63x53 cm	53	82	false
kullka001	17	Garlic and Herb Rub	Photospace	UN	açougue		1 - Estrangeira Importação Direta	61713362	5{7	43.09	113		68x96x78 cm	66	82	true
kullka001	18	Cinnamon Sugar Popcorn	Devpulse	CX	alcoólicos		1 - Estrangeira Importação Direta	21934374	9{7		198		61x63x38 cm	30	35	false
kullka001	19	Spaghetti Squash	Oodoo	CX	alcoólicos		1 - Estrangeira Importação Direta	93289497	5{7	97.23		100	22x87x72 cm	64	77	false
kullka001	20	Stainless Steel Straws	Blogtag	L	bazar		0 - Nacional	42255327	6{7	44.19	137		78x51x21 cm	51	4	true
kullka001	21	LED Strip Lights Kit	Brightdog	CX	hortifruti		2 - Estrangeira Adquirida no Mercado Interno	92582440	0{7	94.38	147	100	65x60x50 cm	54	98	true
kullka001	22	Golf Putting Green	Thoughtbeat	CX	hortifruti		1 - Estrangeira Importação Direta	53793062	4{7	18.81		100	97x35x76 cm	87	21	false
kullka001	23	Classic Cheesecake Mix	Demivee	L	alcoólicos		1 - Estrangeira Importação Direta	27811042	5{7	35.97	177	100	33x00x39 cm	85	28	true
kullka001	24	Pet Nail Clipper	Einti	CX	bazar		1 - Estrangeira Importação Direta	67057412	4{7			100	31x48x38 cm	8	22	true
kullka001	25	Blackberry Compote	Fivechat	UN	mercearia		0 - Nacional	59740868	9{7	56.39	136	100	76x73x39 cm	55	79	true
kullka001	26	Ginger Tea	Brightdog	UN	alcoólicos		2 - Estrangeira Adquirida no Mercado Interno	85680728	8{7	79.06	190		10x93x26 cm	75	90	true
kullka001	27	Electric Stool Heater	Fatz	KG	Bebidas		0 - Nacional	33302350	0{7			100	14x41x30 cm	96	27	true
kullka001	28	High-Quality Yoga Mat	Edgeify	UN	hortifruti		2 - Estrangeira Adquirida no Mercado Interno	16422115	9{7		164		63x01x30 cm	71	38	true
kullka001	29	Mixed Nuts	Youopia	CX	hortifruti		0 - Nacional	38260322	0{7			100	39x77x88 cm	48	32	true
kullka001	30	Mini Fondue Set	Zoomdog	UN	Bebidas		0 - Nacional	866559	0{7		184	100	91x94x53 cm	60	1	true
kullka001	31	Vegetable Quinoa Bowl	Abata	UN	hortifruti		2 - Estrangeira Adquirida no Mercado Interno	79412464	7{7	34.24	127	100	19x94x82 cm	45	98	false
kullka001	32	Lemon Herb Chicken	JumpXS	M	mercearia		2 - Estrangeira Adquirida no Mercado Interno	83454567	7{7	79.91	173	100	36x98x21 cm	26	62	false
kullka001	33	Stylish Combat Boots	Jaxbean	UN	mercearia		0 - Nacional	82373598	3{7	81.02	136	100	37x56x79 cm	23	69	true
kullka001	34	Pet Food Storage Container	Eimbee	CX	açougue		0 - Nacional	27642355	9{7	62.25		100	08x25x90 cm	40	94	false
kullka001	35	Pineapple Rings	Eayo	CX	hortifruti		0 - Nacional	45295050	9{7			100	30x50x88 cm	30	55	false
kullka001	36	Himalayan Salt Grinder	Bluejam	M	Bebidas		2 - Estrangeira Adquirida no Mercado Interno	73433156	8{7	77.34	135	100	80x58x57 cm	13	93	false
kullka001	37	Cajun Seasoning	Kanoodle	CX	açougue		1 - Estrangeira Importação Direta	7871222	6{7	21.22	137	100	45x26x18 cm	64	61	false
kullka001	38	Herb Seasoned Croutons	Quatz	M	alcoólicos		2 - Estrangeira Adquirida no Mercado Interno	34487177	6{7			100	31x36x89 cm	95	39	true
kullka001	39	Home Delivery Food Journal	Skibox	M	mercearia		1 - Estrangeira Importação Direta	57443775	3{7		197		24x85x48 cm	87	4	true
kullka001	40	Chili Lime Corn Chips	Oyoba	L	açougue		1 - Estrangeira Importação Direta	34195184	1{7	58.94		100	18x64x41 cm	12	31	false
kullka001	41	Sweet Corn	Jabbersphere	M	alcoólicos		0 - Nacional	23854041	6{7	70.41	178		16x37x24 cm	6	34	true
kullka001	42	Sporty Leggings	Realbridge	KG	alcoólicos		2 - Estrangeira Adquirida no Mercado Interno	85504615	9{7	99.49	174	100	73x89x68 cm	59	99	false
kullka001	43	Reversible Swimming Pool Lounger	Tagpad	L	alcoólicos		1 - Estrangeira Importação Direta	32150285	3{7	47.21			65x91x91 cm	92	59	false
